"GoId","Aspect"
"GO:0006448","P"
"GO:0007206","P"
"GO:0035584","P"
"GO:0090647","P"
"GO:0099170","P"
"GO:0099566","P"
"GO:1902938","P"
"GO:1904646","P"
"GO:0099553","P"
"GO:0099583","F"
"GO:0035524","P"
"GO:0015180","F"
"GO:0015808","P"
"GO:0005280","F"
"GO:0015816","P"
"GO:0015187","F"
"GO:0015193","F"
"GO:0022851","F"
"GO:0071420","P"
"GO:0098982","C"
"GO:1902476","P"
"GO:1902711","C"
"GO:1904862","P"
"GO:0008503","F"
"GO:0004890","F"
"GO:0007214","P"
"GO:0030285","C"
"GO:0032809","C"
"GO:0050811","F"
"GO:0090102","P"
"GO:0099192","C"
"GO:0098978","C"
"GO:2001226","P"
"GO:0001540","F"
"GO:0001661","P"
"GO:0001967","P"
"GO:0001975","P"
"GO:0004972","F"
"GO:0007616","P"
"GO:0008355","P"
"GO:0008542","P"
"GO:0016594","F"
"GO:0016595","F"
"GO:0017146","C"
"GO:0018964","P"
"GO:0021586","P"
"GO:0022849","F"
"GO:0043083","C"
"GO:0048013","P"
"GO:0051290","P"
"GO:0060134","P"
"GO:0098976","P"
"GO:0099061","C"
"GO:0033058","P"
"GO:0097202","P"
"GO:1902951","P"
"GO:0051721","F"
"GO:0000023","P"
"GO:0004339","F"
"GO:0004558","F"
"GO:0005983","P"
"GO:0032450","F"
"GO:0044245","P"
"GO:0070062","C"
"GO:0070821","C"
"GO:0101003","C"
"GO:0002086","P"
"GO:0035577","C"
"GO:0043181","P"
"GO:0043202","C"
"GO:0046716","P"
"GO:0050885","P"
"GO:0004574","F"
"GO:0004575","F"
"GO:0004556","F"
"GO:0031404","F"
"GO:0103025","F"
"GO:0001997","P"
"GO:0002024","P"
"GO:0007190","P"
"GO:0030165","F"
"GO:0031694","F"
"GO:0040015","P"
"GO:0098685","C"
"GO:0099579","F"
"GO:0120162","P"
"GO:0004940","F"
"GO:0002025","P"
"GO:0051380","F"
"GO:0051379","F"
"GO:0009822","P"
"GO:0016098","P"
"GO:0020037","F"
"GO:0033076","P"
"GO:0042572","P"
"GO:0090350","P"
"GO:0042738","P"
"GO:0002032","P"
"GO:0004941","F"
"GO:0007171","P"
"GO:0008179","F"
"GO:0010739","P"
"GO:0015459","F"
"GO:0061885","P"
"GO:1901098","P"
"GO:1904504","P"
"GO:1990911","P"
"GO:2000481","P"
"GO:2000969","P"
"GO:0008559","F"
"GO:0090554","F"
"GO:0090555","F"
"GO:0099038","F"
"GO:0099040","P"
"GO:0004666","F"
"GO:0019371","P"
"GO:0009750","P"
"GO:0010575","P"
"GO:0019372","P"
"GO:0031394","P"
"GO:0031915","P"
"GO:0034356","P"
"GO:0035633","P"
"GO:0042307","P"
"GO:0042803","F"
"GO:0045429","P"
"GO:0046697","P"
"GO:0051968","P"
"GO:0071284","P"
"GO:0071318","P"
"GO:0071471","P"
"GO:0071498","P"
"GO:0090050","P"
"GO:0090271","P"
"GO:0090336","P"
"GO:0090362","P"
"GO:0019373","P"
"GO:0034875","F"
"GO:0071276","P"
"GO:0071280","P"
"GO:0071615","P"
